Key,Item Type,Publication Year,Author,Title,Publication Title,Date,Pages,Library Catalog
DZPZIZE2,journalArticle,1865,"Thornbury, Walter; Dennis, John",Haunted London.,"Fortnightly review, May 1865-June 1934",1865-05-15,127-128,ProQuest
Z7H64RGI,journalArticle,1865,"Munro, H. A. J.; EDITOR",Titi Lucreti Cari De Rerum Natura Libri Sex.,"Fortnightly review, May 1865-June 1934",1865-05-15,128-128,ProQuest
DSVIBJ93,journalArticle,1865,"Jones, Owen; Eliot, George",The Grammar of Ornament.,"Fortnightly review, May 1865-June 1934",1865-05-15,124-125,ProQuest
2XKQ62GN,journalArticle,1869,"Garnett, Richard",Idylls and Epigrams.,"Fortnightly review, May 1865-June 1934",1869-04,504-504,ProQuest
392B97WF,journalArticle,1868,"Yonge, Charles D.; EDITOR","The Life and Administration of Robert Banks, Second Earl of Liverpool.","Fortnightly review, May 1865-June 1934",1868-11,583-585,ProQuest
3IRMT4Z9,journalArticle,1869,"BURTY, PHILIP; Colvin, Sidney",Chefs-D'oeuvre of the Industrial Arts.,"Fortnightly review, May 1865-June 1934",1869-04,500-502,ProQuest
3KUBGCN5,journalArticle,1868,"Fitzgerald, Percy; Rae, W. F.","The Life of David Garrick, from Original Family Papers, and Numerous Published and Unpublished Sources.","Fortnightly review, May 1865-June 1934",1868-04,475-476,ProQuest
42A2JSRV,journalArticle,1869,"COX, HOMERSHAM",Whig and Tory Administrations during the last Thirteen Years.,"Fortnightly review, May 1865-June 1934",1869-01,126-126,ProQuest
4TUBVIBI,journalArticle,1868,"BERNARD, MOUNTAGUE; EDITOR",Four Lectures on Subjects Connected with Diplomacy.,"Fortnightly review, May 1865-June 1934",1868-05,584-586,ProQuest
4VQWGE2S,journalArticle,1868,"Dyer, Thomas Henry; Kirkus, William",The History of the Kings of Rome.,"Fortnightly review, May 1865-June 1934",1868-06,718-720,ProQuest
5R4D93RX,journalArticle,1868,"Nassau; LESLIE, T. E. CLIFFE; Senior, W.","Journals, Conversations, and Essays Relating to Ireland.","Fortnightly review, May 1865-June 1934",1868-11,580-583,ProQuest
5S2HF9VF,journalArticle,1869,"Thompson, George; Stott, George",Critical Notice.,"Fortnightly review, May 1865-June 1934",1869-10,467-468,ProQuest
63JW3GFN,journalArticle,1869,"Strickland, Agnes",Lives of the Tudor Princesses.,"Fortnightly review, May 1865-June 1934",1869-02,251-251,ProQuest
6K5CQ2KX,journalArticle,1869,"ZINCKE, F. BARHAM",Last Winter in the United States.,"Fortnightly review, May 1865-June 1934",1869-01,125-125,ProQuest
6PM98Q7D,journalArticle,1869,"Simonin, L.","Underground Life; or, Mines and Miners.","Fortnightly review, May 1865-June 1934",1869-01,128-128,ProQuest
6QFE8VVG,journalArticle,1869,"Wallace, Alfred Russel",The Malay Archipelago.,"Fortnightly review, May 1865-June 1934",1869-04,502-502,ProQuest
6TRJ27PF,journalArticle,1869,"Muller, Fritz",Facts and Arguments for Darwin.,"Fortnightly review, May 1865-June 1934",1869-04,502-502,ProQuest
7WVKWRGQ,journalArticle,1871,"Amos, Sheldon",Some Books of the Month.,"Fortnightly review, May 1865-June 1934",1871-01,137-144,ProQuest
8PPSXZCI,journalArticle,1868,"de LaPrade, Victor; Dowden, Edward",Le Sentiment De La Nature Chez Les Modernes.,"Fortnightly review, May 1865-June 1934",1868-08,229-231,ProQuest
9CM2NTVR,journalArticle,1868,"PARSEE, a; Giffen, Robert","The Parsee Marriage and Divorce Act, and the Parsee Matrimonial Courts.","Fortnightly review, May 1865-June 1934",1868-11,585-586,ProQuest
A6SJMZB3,journalArticle,1868,"Maurice, F. D.; Morison, James Cotter",The Conscience. Lectures on Casuistry.,"Fortnightly review, May 1865-June 1934",1868-10,461-465,ProQuest
AEEVKG35,journalArticle,1869,"Eastlake, Charles L.; Clayden, P. W.","Hints on Household Taste in Furniture, Upholstery, and Other Details.","Fortnightly review, May 1865-June 1934",1869-03,375-376,ProQuest
ATD9PC7S,journalArticle,1870,"Sylvester, J. J.; Ingleby, C. M.",Critical Notice.,"Fortnightly review, May 1865-June 1934",1870-10,488-490,ProQuest
C9MGH74M,journalArticle,1868,"Greg, W. R.; Capes, J. M.",Literary and Social Judgments.,"Fortnightly review, May 1865-June 1934",1868-12,701-702,ProQuest
C9ZURTPI,journalArticle,1870,"Davies, J. Llewelyn",Critical Notice.,"Fortnightly review, May 1865-June 1934",1870-01,126-128,ProQuest
CA2FE3VK,journalArticle,1869,"Council, the Author of Friends in",Realmah.,"Fortnightly review, May 1865-June 1934",1869-01,128-128,ProQuest
D36TAJXM,journalArticle,1868,"Lever, Charles; Knight, Joseph",The Bramleighs of Bishop's Folly.,"Fortnightly review, May 1865-June 1934",1868-11,586-588,ProQuest
DM8MFIG5,journalArticle,1869,"Arnold, Matthew; Kirkus, Wm",Culture and Anarchy: An Essay in Political and Social Criticism.,"Fortnightly review, May 1865-June 1934",1869-03,371-373,ProQuest
DQ4X46KI,journalArticle,1869,"Hawkins, F. W.",The Life of Edmund Kean.,"Fortnightly review, May 1865-June1934",1869-04,504-504,ProQuest
EIW5ICWR,journalArticle,1868,"Mill, John Stuart; Thornton, W. T.",England and Ireland.,"Fortnightly review, May 1865-June 1934",1868-04,472-474,ProQuest
EVI3XMTR,journalArticle,1869,"Creasy, Edward S.",History of England from the Earliest to the Present Time.,"Fortnightly review, May 1865-June 1934",1869-04,504-504,ProQuest
FFBI5M5S,journalArticle,1868,"Robertson, J. B.; Marriott, W. T.","Lectures on the Life, Writings, and Times of Edmund Burke.","Fortnightly review, May 1865-June 1934",1868-12,699-701,ProQuest
FMAM6UEU,journalArticle,1868,"Tainsh, Edward Campbell; Dowden, Edward","A Study of the Works of Alfred Tennyson, D.c.l.,","Fortnightly review, May 1865-June 1934",1868-05,582-584,ProQuest
GPFEXSHE,journalArticle,1869,"WHYMPER, FREDERICK; Giffen, Robert",Critical Notices.,"Fortnightly review, May 1865-June 1934",1869-02,249-250,ProQuest
GTDE2C8T,journalArticle,1868,"Morris, William; EDITOR",The Earthly Paradise.,"Fortnightly review, May 1865-June 1934",1868-06,713-715,ProQuest
HJDR8EMU,journalArticle,1868,"Arnold, Matthew; Farrar, Frederic W.",Schools and Universities of the Continent.,"Fortnightly review, May 1865-June 1934",1868-06,709-711,ProQuest
HN22QI72,journalArticle,1869,"Church, R. W.",Sermons preached before the University of Oxford.,"Fortnightly review, May 1865-June 1934",1869-01,127-127,ProQuest
J2DTNW7V,journalArticle,1868,"MINTO, the COUNTESS OF; Rae, W. F.",A Memoir of the Right Honourable Hugh Elliot.,"Fortnightly review, May 1865-June 1934",1868-12,702-704,ProQuest
J8XD9V6K,journalArticle,1868,"Quick, Robert Hebert; PAYNE, JOHN BURNELL",Essays on Educational Reformers.,"Fortnightly review, May 1865-June 1934",1868-10,465-467,ProQuest
J9PCF3I5,journalArticle,1869,"BURTON, RICHARD F.",Explorations of the Highlands of the Brazil;,"Fortnightly review, May 1865-June 1934",1869-02,252-252,ProQuest
JXRVEJHE,journalArticle,1869,"Stokes, William",The Life and Labours in Art and Archaeology of George Petrie.,"Fortnightly review, May 1865-June 1934",1869-02,252-252,ProQuest
KCPPKDDV,journalArticle,1869,"Howitt, William",The Northern Heights of London.,"Fortnightly review, May 1865-June 1934",1869-04,503-503,ProQuest
KD7PRKKN,journalArticle,1869,"Story, W. W.; FORMAN, H. BUXTON",Graffiti D'italia.,"Fortnightly review, May 1865-June 1934",1869-01,117-120,ProQuest
M7ZG2PKF,journalArticle,1868,"Morison, James Cotter; Morley, Henry","The Life and Times of Saint Bernard, Abbot of Clairvaux, A.d. 10911153.","Fortnightly review, May 1865-June 1934",1868-12,695-697,ProQuest
MGIQVUNS,journalArticle,1868,"ALGER, WILLIAM ROUNSEVILLE; Clayden, P. W.","The Genius of Solitude. the Solitudes of Nature and of Man, or the Loneliness of Human Life.","Fortnightly review, May 1865-June 1934",1868-10,467-468,ProQuest
MHD954CM,journalArticle,1869,"Bickmore, Albert S.",Travels in the East Indian Archipelago.,"Fortnightly review, May 1865-June 1934",1869-01,126-127,ProQuest
MPB7GN5P,journalArticle,1869,"HADDAN, A. W.",Councils and Ecclesiastical Documents relating to Great Britain and Ireland.,"Fortnightly review, May 1865-June 1934",1869-04,503-503,ProQuest
MWWEPTDD,journalArticle,1869,"RYLE, J. C.",The Christian Leaders of the Last Century.,"Fortnightly review, May 1865-June 1934",1869-01,127-127,ProQuest
NG3M45KV,journalArticle,1869,"Browning, Robert",The Ring and the Book.,"Fortnightly review, May 1865-June 1934",1869-01,125-126,ProQuest
NPJ4ZCUD,journalArticle,1869,"POLKO, ELISE",Reminiscences of Felix Mendelssohn Bartholdy.,"Fortnightly review, May 1865-June 1934",1869-01,127-128,ProQuest
PD7FC3ED,journalArticle,1869,"Edwards, Edward; MARRAS, AMERIC",The Life of Sir Walter Ralegh.,"Fortnightly review, May 1865-June 1934",1869-03,373-374,ProQuest
PSS856CJ,journalArticle,1869,"Russell, J. Scott",Systematic Technical Education for the English People.,"Fortnightly review, May 1865-June 1934",1869-04,503-503,ProQuest
QPQ4RN68,journalArticle,1868,"LUBKE, WILHELM; Colvin, Sidney",History of Art.,"Fortnightly review, May 1865-June 1934",1868-12,697-699,ProQuest
RVNC8ADQ,journalArticle,1869,"Browne, Matthew",Chaucer's England.,"Fortnightly review, May 1865-June 1934",1869-04,503-504,ProQuest
SAS459S2,journalArticle,1868,"Tylor, E. B.",A Memoir of Baron Bunsen.,"Fortnightly review, May 1865-June 1934",1868-06,715-718,ProQuest
SGIWW7E6,journalArticle,1869,"Arnold, R. Arthur; Stott, George","From the Levant, the Black Sea, and the Danube.","Fortnightly review, May 1865-June 1934",1869-01,121-123,ProQuest
SJT2A92Z,journalArticle,1868,"Thompson, D'Arcy Wentworth; Black, Robert",Sales Attici.,"Fortnightly review, May 1865-June 1934",1868-05,586-589,ProQuest
SNTAG8GK,journalArticle,1870,"Taine, H.; Mill, J. S.",Critical Notice.,"Fortnightly review, May 1865-June 1934",1870-07,121-124,ProQuest
SRN6SVJW,journalArticle,1869,"Carlyle, Thomas",Sartor Resartus.,"Fortnightly review, May 1865-June 1934",1869-02,251-252,ProQuest
T29CGJT9,journalArticle,1868,"Morison, J. C.; EDITOR",Irish Grievances Shortly Stated.,"Fortnightly review, May 1865-June 1934",1868-08,234-236,ProQuest
T3QURQK7,journalArticle,1869,"DEVRIENT, EDWARD; Capes, J. M.","My Recollections of Felix Mendelssohn Bartholdy, and His Letters to Me.","Fortnightly review, May 1865-June 1934",1869-04,499-500,ProQuest
TVMSG2AQ,journalArticle,1868,"Sullivan, Edward; Stott, George",Ten Chapters on Social Reform.,"Fortnightly review, May 1865-June 1934",1868-05,591-592,ProQuest
UCDMS2BR,journalArticle,1868,"Hunter, W. W.; Giffen, Robert",The Annals of Rural Bengal.,"Fortnightly review, May 1865-June 1934",1868-06,711-713,ProQuest
VAZ3IPBM,journalArticle,1869,"Juste, Theodore","Memoirs of Leopold I., King of the Belgians.","Fortnightly review, May 1865-June 1934",1869-01,126-126,ProQuest
VMXSC7HW,journalArticle,1869,"Perkins, Charles C.; Colvin, Sidney","Italian Sculptors: Being a History of Sculpture in Northern, Southern, and Eastern Italy.","Fortnightly review, May 1865-June 1934",1869-01,123-125,ProQuest
WXGWJIQK,journalArticle,1868,"MacDonald, George; Knight, J.",Critical Notice.,"Fortnightly review, May 1865-June 1934",1868-07,115-116,ProQuest
WZJIHQBX,journalArticle,1868,"White, Henry; EDITOR",The Massacre of St. Bartholomew.,"Fortnightly review, May 1865-June 1934",1868-04,476-478,ProQuest
X34T6MZ2,journalArticle,1868,"Eastwick, Edward B.; Giffen, Robert","Venezuela; or, Sketches of Life in a South-American Republic, with the History of the Loan of 1864.","Fortnightly review, May 1865-June 1934",1868-08,232-234,ProQuest
XR9JZ3HD,journalArticle,1868,"CRACROFT, BERNARD; Morison, James Cotter","Essays, Political and Miscellaneous.","Fortnightly review, May 1865-June 1934",1868-05,589-591,ProQuest
Z2KBKV2H,journalArticle,1868,"Buxton, Charles; Stack, J. Herbert",Ideas of the Day on Policy.,"Fortnightly review, May 1865-June 1934",1868-04,479-480,ProQuest
67TU6GEB,journalArticle,1871,"Amos, Sheldon",Some Books of the Month.,"Fortnightly review, May 1865-June 1934; London",1871-02,281-288,ProQuest
TRNH7MTD,journalArticle,1865,"Chapman, John; EDITOR",Sea-Sickness: Its Nature and Treatment.,"Fortnightly review, May 1865-June 1934; London",1865-06-01,255-256,ProQuest
34B3RUFX,journalArticle,1865,"Ludlow, John Malcolm; Dennis, John",Woman's Work in the Church.,"Fortnightly review, May 1865-June 1934; London",1865-06-01,251-252,ProQuest
5JJQB8G8,journalArticle,1865,"Trafford, F. G.; Dennis, John",George Geith of Fen Court.,"Fortnightly review, May 1865-June 1934; London",1865-06-01,254-255,ProQuest
H8SIA2IF,journalArticle,1865,"Fitzgerald, Percy; EDITOR",Never Forgotten.,"Fortnightly review, May 1865-June 1934; London",1865-06-01,253-254,ProQuest
T5ZCHDJC,journalArticle,1865,"SANFORD, JOHN LANGTON; Call, W. M.; Townsend, Meredith",The Great Governing Families of England.,"Fortnightly review, May 1865-June 1934; London",1865-06-01,249-250,ProQuest
RWJDN7BF,journalArticle,1865,"Bridges, J. H.; EDITOR",A General View of Positivism.,"Fortnightly review, May 1865-June 1934; London",1865-06-01,250-251,ProQuest
JFKAAAPR,journalArticle,1865,"Mill, John Stuart; EDITOR","An Examination of Sir William Hamilton's Philosophy, and of the Principal Questions Discussed in His Writings.","Fortnightly review, May 1865-June 1934; London",1865-07-01,507-510,ProQuest
AZ8MHUIF,journalArticle,1865,"Secret, the Author of Lady Audley's; Dennis, John",Only a Clod.,"Fortnightly review, May 1865-June 1934; London",1865-07-01,511-512,ProQuest
9GI7C53U,journalArticle,1865,"METEYARD, E.; PALGRAVE, F. T.","The Life of J. Wedgwood, from His Private Correspondence and Family Papers, with an Introductory Sketch of the Art of Pottery in England.","Fortnightly review, May 1865-June 1934; London",1865-07-01,510-511,ProQuest
CEQRQC4T,journalArticle,1865,"Ruskin, John; Trollope, Anthony",Sesame and Lilies.,"Fortnightly review, May 1865-June 1934; London",1865-07-15,633-635,ProQuest
6FS3FDB3,journalArticle,1865,EDITOR,Publications of the Anthropological Society of London.,"Fortnightly review, May 1865-June 1934; London",1865-07-15,636-636,ProQuest
TZTZE3JF,journalArticle,1865,"Fisher, Joseph; PALGRAVE, F. T.","Facsimiles of Original Studies by Raffaelle and by Michel Angelo in the University Galleries, Oxford;","Fortnightly review, May 1865-June 1934; London",1865-07-15,640-640,ProQuest
7Q3TGECB,journalArticle,1865,"Vinet, Alexander; Bayne, Peter",Outlines of Theology.,"Fortnightly review, May 1865-June 1934; London",1865-07-15,638-639,ProQuest
UXXTJNRR,journalArticle,1865,"Gordon, Duff; EDITOR","Letters from Egypt, 1863-5.","Fortnightly review, May 1865-June 1934; London",1865-07-15,637-637,ProQuest
E4MTNTF9,journalArticle,1865,"BURY, VISCOUNT; Bell, Robert",The Exodus of the Western Nations.,"Fortnightly review, May 1865-June 1934; London",1865-07-15,631-633,ProQuest
FFNES4GM,journalArticle,1865,"Parkes, Bessie Rayner; Dennis, John",Essays on Woman's Work.,"Fortnightly review, May 1865-June 1934; London",1865-07-15,639-640,ProQuest
Q88QBUIT,journalArticle,1865,"Dennis, John","Cornelius O'dowd, Upon Men, Women, and Other Things in General.","Fortnightly review, May 1865-June 1934; London",1865-07-15,640-640,ProQuest
9KEN29BV,journalArticle,1865,"Stott, George",History of the Sect of Maharajahs or Vallabhacharyans in Western India.,"Fortnightly review, May 1865-June 1934; London",1865-08-15,125-126,ProQuest
MI7C2N62,journalArticle,1865,"RYE, WILLIAM BRENCHLEY; EDITOR",England as Seen by Foreigners in the Days of Elizabeth and James the First.,"Fortnightly review, May 1865-June 1934; London",1865-08-15,128-128,ProQuest
8GJP7WAA,journalArticle,1865,"HULLAH, JOHN; EDITOR",A Course of Lectures on the Third or Transition Period of Musical History.,"Fortnightly review, May 1865-June 1934; London",1865-08-15,126-127,ProQuest
7RU6K7CB,journalArticle,1865,"Hannay, James; Trollope, Anthony",Characters and Criticisms.,"Fortnightly review, May 1865-June 1934; London",1865-09-01,255-256,ProQuest
4GHADACB,journalArticle,1865,"PALGRAVE, F. T.",Art Applied to Industry: Lectures by W. Burges.,"Fortnightly review, May 1865-June 1934; London",1865-09-01,254-255,ProQuest
